temporada,id_jugador,nombre_jugador,edad,nacionalidad,equipo,partidos_jugados,minutos,goles,tarjetas_amarillas,tarjetas_rojas
2022,19720,T. Chalobah,23.0,England,Chelsea FC,25.0,1604.0,0.0,4.0,0.0
2022,126791,N. Broadhead,24.0,Wales,Everton FC,0.0,0.0,0.0,0.0,0.0
2022,161948,L. Delap,19.0,England,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,284428,O. Hutchinson,19.0,England,Chelsea FC,1.0,22.0,0.0,0.0,0.0
2022,894,A. Young,37.0,England,Aston Villa,29.0,2038.0,1.0,7.0,0.0
2022,895,J. Garner,21.0,England,Everton FC,16.0,795.0,0.0,3.0,0.0
2022,1440,R. Holding,27.0,England,Arsenal FC,14.0,558.0,1.0,0.0,0.0
2022,2165,V. Mykolenko,23.0,Ukraine,Everton FC,34.0,2655.0,0.0,4.0,0.0
2022,2934,M. Keane,29.0,England,Everton FC,12.0,983.0,1.0,0.0,0.0
2022,2936,J. Tarkowski,30.0,England,Everton FC,38.0,3420.0,1.0,6.0,0.0
2022,2990,I. Gueye,33.0,Senegal,Everton FC,33.0,2594.0,0.0,7.0,0.0
2022,18758,S. Coleman,34.0,Republic of Ireland,Everton FC,23.0,1663.0,1.0,1.0,0.0
2022,18766,D. Calvert-Lewin,25.0,England,Everton FC,17.0,1174.0,2.0,3.0,0.0
2022,18805,A. Doucouré,29.0,Mali,Everton FC,25.0,1526.0,5.0,6.0,1.0
2022,18929,D. McNeil,23.0,England,Everton FC,36.0,2500.0,7.0,5.0,0.0
2022,50999,M. Turner,28.0,USA,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,138417,N. Patterson,21.0,Scotland,Everton FC,19.0,1277.0,0.0,3.0,0.0
2022,138822,A. Broja,21.0,Albania,Chelsea FC,12.0,286.0,1.0,0.0,0.0
2022,284500,T. Iroegbunam,19.0,England,Aston Villa,0.0,0.0,0.0,0.0,0.0
2022,180,O. Skipp,22.0,England,Tottenham Hotspur,23.0,1496.0,1.0,7.0,0.0
2022,182,H. Winks,26.0,England,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0
2022,2932,J. Pickford,28.0,England,Everton FC,37.0,3330.0,0.0,6.0,0.0
2022,18741,C. Coady,29.0,England,Everton FC,24.0,2096.0,1.0,2.0,0.0
2022,18858,A. Begović,35.0,Bosnia and Herzegovina,Everton FC,1.0,90.0,0.0,0.0,0.0
2022,19004,B. De Cordova-Reid,29.0,Jamaica,Fulham FC,36.0,2486.0,4.0,8.0,0.0
2022,311334,F. Buonanotte,18.0,Argentina,Brighton & Hove Albion,13.0,563.0,1.0,2.0,0.0
2022,17,C. Pulišić,24.0,USA,Chelsea FC,24.0,812.0,1.0,1.0,0.0
2022,174,C. Eriksen,30.0,Denmark,Manchester United,28.0,2062.0,1.0,3.0,0.0
2022,747,Casemiro,30.0,Brazil,Manchester United,28.0,2126.0,4.0,7.0,2.0
2022,842,N. Vlašić,25.0,Croatia,West Ham United,0.0,0.0,0.0,0.0,0.0
2022,909,M. Rashford,25.0,England,Manchester United,35.0,2889.0,17.0,2.0,0.0
2022,1566,Emerson Royal,23.0,Brazil,Tottenham Hotspur,26.0,1736.0,2.0,2.0,1.0
2022,2292,R. Loftus-Cheek,26.0,England,Chelsea FC,25.0,1543.0,0.0,1.0,0.0
2022,9971,Antony,22.0,Brazil,Manchester United,25.0,1817.0,4.0,5.0,0.0
2022,18911,N. Pope,30.0,England,Newcastle United,37.0,3262.0,0.0,3.0,1.0
2022,19185,K. Davis,24.0,England,Aston Villa,0.0,0.0,0.0,0.0,0.0
2022,19220,M. Mount,23.0,England,Chelsea FC,24.0,1657.0,3.0,4.0,0.0
2022,19524,C. Adams,26.0,Scotland,Southampton FC,28.0,1998.0,5.0,1.0,0.0
2022,157997,A. Diallo,20.0,Côte d'Ivoire,Manchester United,0.0,0.0,0.0,0.0,0.0
2022,284322,K. Mainoo,17.0,England,Manchester United,1.0,10.0,0.0,0.0,0.0
2022,284324,A. Garnacho,18.0,Argentina,Manchester United,19.0,562.0,3.0,3.0,0.0
2022,150,Arthur,26.0,Brazil,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2022,294,N. Keïta,27.0,Guinea,Liverpool FC,8.0,292.0,0.0,1.0,0.0
2022,882,David de Gea,32.0,Spain,Manchester United,38.0,3420.0,0.0,0.0,0.0
2022,903,S. McTominay,26.0,Scotland,Manchester United,24.0,1149.0,1.0,8.0,0.0
2022,1159,M. Sabitzer,28.0,Austria,Manchester United,11.0,628.0,0.0,1.0,0.0
2022,18970,P. Groß,31.0,Germany,Brighton & Hove Albion,37.0,3246.0,9.0,7.0,0.0
2022,19073,B. Godfrey,24.0,England,Everton FC,13.0,803.0,0.0,2.0,0.0
2022,26475,D. Undav,26.0,Germany,Brighton & Hove Albion,22.0,618.0,5.0,2.0,0.0
2022,30544,G. Scamacca,23.0,Italy,West Ham United,16.0,929.0,3.0,3.0,0.0
2022,41577,Nuno Tavares,22.0,Portugal,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,47522,Douglas Luiz,24.0,Brazil,Aston Villa,37.0,2933.0,6.0,6.0,1.0
2022,130423,B. Gilmour,21.0,Scotland,Brighton & Hove Albion,14.0,506.0,0.0,1.0,0.0
2022,156490,N. Nkounkou,22.0,France,Everton FC,0.0,0.0,0.0,0.0,0.0
2022,261,T. Kehrer,26.0,Germany,West Ham United,27.0,2230.0,0.0,4.0,0.0
2022,662,T. Ndombélé,26.0,France,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0
2022,1456,A. Maitland-Niles,25.0,England,Southampton FC,22.0,1404.0,0.0,3.0,0.0
2022,1902,D. Ćaleta-Car,26.0,Croatia,Southampton FC,13.0,945.0,1.0,2.0,0.0
2022,1914,M. Sanson,28.0,France,Aston Villa,2.0,9.0,0.0,0.0,0.0
2022,2810,D. Zakaria,26.0,Switzerland,Chelsea FC,7.0,413.0,0.0,0.0,0.0
2022,3240,J. Gbamin,27.0,Côte d'Ivoire,Everton FC,0.0,0.0,0.0,0.0,0.0
2022,18765,André Gomes,29.0,Portugal,Everton FC,0.0,0.0,0.0,0.0,0.0
2022,19361,S. Benrahma,27.0,Algeria,West Ham United,35.0,2070.0,6.0,0.0,0.0
2022,19364,N. Maupay,26.0,France,Everton FC,27.0,1113.0,1.0,4.0,0.0
2022,21636,F. Guilbert,28.0,France,Aston Villa,0.0,0.0,0.0,0.0,0.0
2022,22166,M. Sarr,23.0,France,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2022,47480,M. Salisu,23.0,Ghana,Southampton FC,22.0,1973.0,0.0,5.0,0.0
2022,138835,F. Balogun,21.0,USA,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,190686,S. Mara,20.0,France,Southampton FC,22.0,540.0,1.0,1.0,0.0
2022,207,I. Perišić,33.0,Croatia,Tottenham Hotspur,34.0,2110.0,1.0,6.0,0.0
2022,292,J. Henderson,32.0,England,Liverpool FC,35.0,2075.0,0.0,2.0,0.0
2022,2473,M. Lanzini,29.0,Argentina,West Ham United,10.0,245.0,1.0,0.0,0.0
2022,18893,F. Fernández,33.0,Argentina,Newcastle United,0.0,0.0,0.0,0.0,0.0
2022,19043,T. Kongolo,28.0,Netherlands,Fulham FC,0.0,0.0,0.0,0.0,0.0
2022,37276,K. Scherpen,22.0,Netherlands,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0
2022,46792,Pablo Marí,29.0,Spain,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,278232,P. Ekwah,20.0,France,West Ham United,0.0,0.0,0.0,0.0,0.0
2022,284295,Zidane Iqbal,19.0,Iraq,Manchester United,0.0,0.0,0.0,0.0,0.0
2022,310187,Stefan Bajčetić,18.0,Spain,Liverpool FC,11.0,527.0,1.0,2.0,0.0
2022,334729,B. Clark,17.0,England,Liverpool FC,1.0,7.0,0.0,0.0,0.0
2022,908,A. Martial,27.0,France,Manchester United,21.0,979.0,6.0,0.0,0.0
