temporada,posicion,equipo,goles_favor_total,goles_contra_total,puntos_total,goles_favor_local,goles_contra_local,puntos_local,goles_favor_visitante,goles_contra_visitante,puntos_visitante
2019-2020,12,Everton,44.0,56.0,49,24.0,21.0,31,20.0,35.0,18
2019-2020,13,Newcastle,38.0,58.0,44,20.0,21.0,26,18.0,37.0,18
2019-2020,14,Crystal Palace,31.0,50.0,43,15.0,20.0,23,16.0,30.0,20
2019-2020,15,Brighton,39.0,54.0,41,20.0,27.0,22,19.0,27.0,19
2019-2020,16,West Ham,49.0,62.0,39,30.0,33.0,22,19.0,29.0,17
2019-2020,17,Aston Villa,41.0,67.0,35,22.0,30.0,24,19.0,37.0,11
2019-2020,18,Bournemouth,40.0,65.0,34,22.0,30.0,21,18.0,35.0,13
2019-2020,19,Watford,36.0,64.0,34,22.0,27.0,24,14.0,37.0,10
2019-2020,20,Norwich,26.0,75.0,21,19.0,37.0,15,7.0,38.0,6
2020-2021,1,Man City,83.0,32.0,86,43.0,17.0,41,40.0,15.0,45
2020-2021,2,Man United,73.0,44.0,74,38.0,28.0,31,35.0,16.0,43
2020-2021,3,Liverpool,68.0,42.0,69,29.0,20.0,33,39.0,22.0,36
2020-2021,4,Chelsea,58.0,36.0,67,31.0,18.0,33,27.0,18.0,34
2020-2021,5,Leicester,68.0,50.0,66,34.0,30.0,28,34.0,20.0,38
2020-2021,6,West Ham,62.0,47.0,65,32.0,22.0,34,30.0,25.0,31
2020-2021,7,Tottenham,68.0,45.0,62,35.0,20.0,33,33.0,25.0,29
2020-2021,8,Arsenal,55.0,39.0,61,24.0,21.0,28,31.0,18.0,33
2020-2021,9,Leeds,62.0,54.0,59,28.0,21.0,29,34.0,33.0,30
2020-2021,10,Everton,47.0,48.0,59,24.0,28.0,22,23.0,20.0,37
2020-2021,11,Aston Villa,55.0,46.0,55,29.0,27.0,25,26.0,19.0,30
2020-2021,12,Newcastle,46.0,62.0,45,26.0,33.0,23,20.0,29.0,22
2020-2021,13,Wolves,36.0,52.0,45,21.0,25.0,25,15.0,27.0,20
2020-2021,14,Crystal Palace,41.0,66.0,44,20.0,32.0,23,21.0,34.0,21
