season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2020,630,F. Delph,33,England,Everton,8.0,261.0,0.0,,1.0,0.0
2020,888,P. Jones,31,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2020,2281,G. Cahill,37,England,Crystal Palace,20.0,1800.0,1.0,1.0,3.0,0.0
2020,18759,P. Jagielka,41,England,Sheffield Utd,10.0,526.0,0.0,,1.0,1.0
2020,18770,E. Jakupović,39,Switzerland,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,18782,M. James,33,England,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,18829,Jack Wilshere,30,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2020,18840,M. Kelly,34,England,Crystal Palace,1.0,1.0,0.0,,0.0,0.0
2020,18882,L. Mousset,27,France,Sheffield Utd,11.0,289.0,0.0,,0.0,0.0
2020,18922,J. Cork,35,England,Burnley,16.0,1352.0,0.0,,2.0,0.0
2020,18975,D. Pröpper,33,Netherlands,Brighton,7.0,210.0,0.0,,0.0,0.0
2020,18994,L. Peltier,38,England,West Brom,4.0,229.0,0.0,,1.0,0.0
2020,19005,K. Zohorè,30,Denmark,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,19091,C. Basham,36,England,Sheffield Utd,31.0,2586.0,0.0,1.0,5.0,0.0
2020,19126,S. Dallas,33,Northern Ireland,Leeds,38.0,3411.0,8.0,2.0,7.0,0.0
2020,19153,G. Barry,39,England,West Brom,,,,,,
2020,19190,H. Lansbury,33,England,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,19359,R. Sawyers,33,St. Kitts and Nevis,West Brom,19.0,1490.0,0.0,,2.0,0.0
2020,21383,E. Pieters,36,Netherlands,Burnley,20.0,1261.0,0.0,1.0,1.0,0.0
2020,264438,M. Thompson,22,England,Burnley,0.0,0.0,0.0,,0.0,0.0
2020,114,Adrien Silva,35,Portugal,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,172,D. Alli,28,England,Tottenham,15.0,618.0,0.0,1.0,0.0,0.0
2020,286,J. Matip,33,Cameroon,Liverpool,10.0,693.0,1.0,2.0,2.0,0.0
2020,507,Thiago Alcântara,33,Spain,Liverpool,24.0,1857.0,1.0,,4.0,0.0
2020,2700,A. Jahanbakhsh,31,Iran,Brighton,21.0,520.0,0.0,1.0,3.0,0.0
